size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
8000,chaining,insert,3,45,0.000090539,0,"load_factor=0.7000;collisions=1816;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
8000,open_addressing,insert,3,45,0.000151536,0,"load_factor=0.7000;total_probes=17804;max_cluster=57","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
8000,chaining,insert,4,46,0.000093401,0,"load_factor=0.7000;collisions=1782;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
8000,open_addressing,insert,4,46,0.000152326,0,"load_factor=0.7000;total_probes=17171;max_cluster=64","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
9000,chaining,insert,0,42,0.000102996,0,"load_factor=0.7000;collisions=2022;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
9000,open_addressing,insert,0,42,0.000170252,0,"load_factor=0.7000;total_probes=20843;max_cluster=117","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
9000,chaining,insert,1,43,0.000103342,0,"load_factor=0.7000;collisions=1998;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
9000,open_addressing,insert,1,43,0.000167519,0,"load_factor=0.7000;total_probes=19261;max_cluster=109","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
9000,chaining,insert,2,44,0.000172392,0,"load_factor=0.7000;collisions=2015;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
9000,open_addressing,insert,2,44,0.000174212,0,"load_factor=0.7000;total_probes=18949;max_cluster=77","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
9000,chaining,insert,3,45,0.000103742,0,"load_factor=0.7000;collisions=2013;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
9000,open_addressing,insert,3,45,0.000171768,0,"load_factor=0.7000;total_probes=20073;max_cluster=61","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
9000,chaining,insert,4,46,0.000112843,0,"load_factor=0.7000;collisions=1974;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
9000,open_addressing,insert,4,46,0.000175394,0,"load_factor=0.7000;total_probes=19474;max_cluster=54","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
10000,chaining,insert,0,42,0.000114466,0,"load_factor=0.7000;collisions=2203;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
10000,open_addressing,insert,0,42,0.000187997,0,"load_factor=0.7000;total_probes=22606;max_cluster=74","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
10000,chaining,insert,1,43,0.000122510,0,"load_factor=0.7000;collisions=2237;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
10000,open_addressing,insert,1,43,0.000192219,0,"load_factor=0.7000;total_probes=21200;max_cluster=64","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
10000,chaining,insert,2,44,0.000118549,0,"load_factor=0.7000;collisions=2219;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
10000,open_addressing,insert,2,44,0.000195924,0,"load_factor=0.7000;total_probes=21165;max_cluster=72","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
10000,chaining,insert,3,45,0.000116978,0,"load_factor=0.7000;collisions=2248;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
10000,open_addressing,insert,3,45,0.000197425,0,"load_factor=0.7000;total_probes=21704;max_cluster=62","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
10000,chaining,insert,4,46,0.000116333,0,"load_factor=0.7000;collisions=2216;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
10000,open_addressing,insert,4,46,0.000193796,0,"load_factor=0.7000;total_probes=21379;max_cluster=77","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
20000,chaining,insert,0,42,0.000237360,0,"load_factor=0.7000;collisions=4395;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
20000,open_addressing,insert,0,42,0.000394197,0,"load_factor=0.7000;total_probes=43485;max_cluster=85","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
20000,chaining,insert,1,43,0.000230866,0,"load_factor=0.7000;collisions=4398;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
20000,open_addressing,insert,1,43,0.000503392,0,"load_factor=0.7000;total_probes=43413;max_cluster=84","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
